Career (Small List),Matched Career (Large List)
Occupation A,"Employment Officer/Operation Head, Employment"
Agricultural Engineers,Agricultural Engineer
Architects,Architect
Multimedia Artists and Animators,Animator
Data Scientist,Environmental Scientist
STEM Teacher (Secondary Education),"University and College Teacher, Engineering"
Financial Analyst,Financial Analyst
Policy Analyst,Financial Analyst
Biomedical Engineer,Biomedical Engineer
Data Analyst in Hospitality,"Manager, Lodging and Catering Services"
Biomedical Engineer,Biomedical Engineer
Software Developer ,Embedded Software Engineer
Cybersecurity Specialist,Security Supervisor
Manufacturing Engineer,Production Engineer
Digital Marketing Specialist,Digital Marketing Manager
Logistics Manager,Transport Manager
Environmental Scientist ,Environmental Scientist
Agricultural Scientist,Agriculture Engineering Technician
Healthcare Architect,Architect
Medical Illustrator ,Cartoonist
Healthcare Administrator,Hospital Administrator
Health Educator,Health Educator
Healthcare Financial Analyst,Financial Analyst
Public Health Administrator,Hospital Administrator
Clinical Research Coordinator,"Laboratory Assistant, Clinical"
Health and Wellness Coordinator,Health Club Manager
Healthcare Administrator,Hospital Administrator
Health Informatics Specialist,Medical Records and Health Information Technician
Clinical Research Informatics Specialist,Medical Records and Health Information Technician
Biomedical Engineer,Biomedical Engineer
Pharmaceutical Sales Representative,Medical Sales Representative
Clinical Logistics Manager,Transport Manager
Biomedical Engineer,Biomedical Engineer
Agricultural Lawyer,Agriculture Field Officer
Construction Lawyer,"Director, Construction"
Media Lawyer,Attorney at Law
Corporate Lawyer,Attorney at Law
Education Policy Analyst,Operations Research Analyst
Financial Compliance Officer,Accounts Executive (Statutory Compliance)
Public Policy Analyst,Budget Analyst
Health Law Attorney,Attorney at Law
Hospitality Lawyer,Broker
Social Services Lawyer,Medical Social Worker
Cybersecurity Lawyer,Security Officer
Victim Advocate,Advocate
Environmental Compliance Manager,Environmental Compliance Inspector
Digital Marketing Consultant,Digital Marketing Manager
Freight and Shipping Attorney,"Working Proprietor, Transport"
Technology Law Attorney,Attorney at Law
Agricultural Extension Officer,Agriculture Extension Executive
Urban Planner,Town Planner
Public Relations Specialist,Public Relations Officer
Human Resources Manager,Human Resource Manager
School Counselor,Educational Psychologist
Financial Advisor,Financial Analyst
Public Policy Analyst,Budget Analyst
Health Policy Analyst,Public Health System Design Engineer
Event Manager,"Manager, Recreation and Entertainment"
Social Worker,Medical Social Worker
Systems Analyst,Operations Research Analyst
Paralegal,Parasitologist
Production Planner,Production Planner
Market Research Analyst,Market Research Analyst
Logistics Coordinator,Transport Coordinator
Data Scientist,Environmental Scientist
Agribusiness Manager,"Manager, Agriculture Farm"
Construction Project Manager,"Manager, Construction"
Media Production Manager,Production Manager (Motion Picture)
Operations Manager,Service Office Manager
Training and Development Manager,Product Development Manager
Financial Analyst,Financial Analyst
City Manager,"Manager, Traffic"
Healthcare Administrator,Hospital Administrator
Hotel Manager,Hotel Concierge
Social and Community Service Manager,Community Service Provider
IT Project Manager,IT Coordinator in School
Corporate Compliance Manager,Maintenance Executive
Operations Manager (Manufacturing),"Manager, Manufacturing"
Marketing Manager,Digital Marketing Manager
Logistics Manager,Transport Manager
Business Intelligence Analyst,Operations Research Analyst
Agricultural Communications Specialist,Agriculture Field Officer
Architectural Visualizer,Architect
Multimedia Artist,Commercial Artist
Creative Project Manager,Product Development Manager
Art Teacher,Art Teacher
Art Investment Consultant,Art Director
Cultural Policy Advisor,"Anthropologist, Cultural"
Art Therapist,Art Teacher
Cultural Tour Guide,Tourist Guide
Art Therapist,Art Teacher
Multimedia Artist and Animator,Animator
Art Lawyer,Art Director
Product Designer (Arts Focus),Product Design Manager
Marketing Art Director (Advertising),Art Director
Exhibit Transportation Specialist,Travel Consultant
Scientific Illustrator,Cartoonist
Agricultural Equipment Operator,Agricultural Engineer
Construction Manager,"Manager, Construction"
Sports Broadcaster,Sports Coach
Sports Marketing Manager,Sports Coach
Physical Education Teacher,Physical Training Instructor/Physical Education Teacher
Sports Financial Analyst,Financial Analyst
