Career (Small List),Semantically Matched Careers
Occupation A,"Working Proprietor, Mines, Institutional Ayah, Employment Officer/Operation Head, Employment, Working Proprietor, Construction, Labourer, Plantation"
Agricultural Engineers,"Production Engineer, Civil Engineer, Irrigation, Agriculture Engineering Technician, Agricultural Engineering Technician, Agricultural Engineer"
Architects,"Naval Architect, Design Engineer, Architect, Painter, Building, Construction Painter and Decorator"
Multimedia Artists and Animators,"Animation Director, Theatrical and Media Make-Up Artist, Rendering Artist, Animator, Animator"
Data Scientist,"Laboratory Technician, Physical Analysis, Soil Scientist, Environmental Scientist, Material Scientist, Soil Scientist"
STEM Teacher (Secondary Education),"Senior Secondary and Secondary School Teacher, Arts, University and College Teacher (Science Subjects), Senior Secondary and Secondary School Teacher, Science, University and College Teacher, Engineering, Primary School Teacher"
Policy Analyst,"Market Research Analyst, Budget Analyst, Risk Management Analyst, Financial Analyst, Operations Research Analyst"
Data Analyst in Hospitality,"Human Resource Manager, Financial Analyst, General Manager, Lodging and Catering Services, Operations Research Analyst, Risk Management Analyst"
Software Developer ,"Export Assistant, Telecom Terminal Equipment Application Developer, Front-End Developer, Software Tester, Embedded Software Engineer"
Cybersecurity Specialist,"Forensic Science Technician, Information Officer, Security Officer, Security Supervisor, Personal Security Officer"
Manufacturing Engineer,"Mechanical Engineer, Design-for-Manufacture Engineer, Production Engineer, Industrial Engineer, Production Engineer"
Digital Marketing Specialist,"Product Brand Manager, Vendor Development Executive, Advertising Operations Coordinator (Digital), Marketing &amp; Social Media Manager, Digital Marketing Manager"
Logistics Manager,"Inventory Manager, Warehouse Supervisor, Supervisor and Foreman, Material and Freight Handling, Transport Manager, Warehouse Supervisor"
Environmental Scientist ,"Soil Scientist, Soil Scientist, Environmental Science and Protection Technician, Including Health, Environmental Scientist, Environmental Engineering Technician"
Agricultural Scientist,"Agricultural Engineer, Agricultural Engineering Technician, Agriculture Engineering Technician, Soil Scientist, Soil Scientist"
Healthcare Architect,"Medical Equipment Technician, Biomedical Engineer, Hospital Administrator, Architect, Public Health System Design Engineer"
Medical Illustrator ,"Cartoonist, Texturing Artist, Drawing Artist, Rendering Artist, Hand Sketch Designer"
Healthcare Administrator,"Physician, General, Nursing Attendant, Medical Records and Health Information Technician, Hospital Administrator, Health Officer"
Healthcare Financial Analyst,"Operations Research Analyst, Risk Management Analyst, Budget Analyst, Financial Analyst, Core Analyst"
Public Health Administrator,"Health Educator, Health, Safety and Environment (HSE) Officer, Public Relations Officer, Hospital Administrator, Health Officer"
Clinical Research Coordinator,"Physician, General, Counsellor, Cancer Specialist, Laboratory Assistant, Clinical, Medical Laboratory Technician"
Health and Wellness Coordinator,"Hospital Administrator, Health Officer, Health Club Manager, Assistant Beauty/Wellness Consultant, Health Educator"
Healthcare Administrator,"Physician, General, Nursing Attendant, Medical Records and Health Information Technician, Hospital Administrator, Health Officer"
Health Informatics Specialist,"Medical Equipment Technician, Health Educator, Health Officer, Public Health System Design Engineer, Medical Records and Health Information Technician"
